origin,type_origin,destination,tipo_destination,distance_euclidiane,distance_geo
A26,collection,C16,clasification,2,416.117
A26,collection,C17,clasification,2,400.592
A26,collection,C18,clasification,2,414.145
A26,collection,C19,clasification,2,401.002
A26,collection,C20,clasification,2,419.34
A26,collection,C21,clasification,2,420.347
A27,collection,C1,clasification,1,167.175
A27,collection,C2,clasification,0,52.325
A27,collection,C3,clasification,0,49.681
A27,collection,C4,clasification,0,47.552
A27,collection,C5,clasification,0,44.256
A27,collection,C6,clasification,0,44.097
A27,collection,C7,clasification,0,45.293
A27,collection,C8,clasification,1,168.955
A27,collection,C9,clasification,1,168.955
A27,collection,C10,clasification,1,168.955
A27,collection,C11,clasification,2,413.445
A27,collection,C12,clasification,2,426.156
A27,collection,C13,clasification,2,420.66
A27,collection,C14,clasification,2,421.13
A27,collection,C15,clasification,2,425.288
A27,collection,C16,clasification,2,439.26
A27,collection,C17,clasification,2,423.736
A27,collection,C18,clasification,2,437.289
A27,collection,C19,clasification,2,424.146
A27,collection,C20,clasification,2,442.484
A27,collection,C21,clasification,2,443.491
A28,collection,C1,clasification,1,225.343
A28,collection,C2,clasification,0,101.074
A28,collection,C3,clasification,0,98.429
A28,collection,C4,clasification,0,96.301
A28,collection,C5,clasification,0,93.004
A28,collection,C6,clasification,0,92.845
A28,collection,C7,clasification,0,93.058
A28,collection,C8,clasification,0,83.8
A28,collection,C9,clasification,0,83.8
A28,collection,C10,clasification,0,83.8
A28,collection,C11,clasification,2,328.29
A28,collection,C12,clasification,2,341.001
A28,collection,C13,clasification,2,335.505
A28,collection,C14,clasification,2,335.975
A28,collection,C15,clasification,2,340.132
A28,collection,C16,clasification,2,354.105
A28,collection,C17,clasification,2,338.581
A28,collection,C18,clasification,2,352.133
A28,collection,C19,clasification,2,338.99
A28,collection,C20,clasification,2,357.329
A28,collection,C21,clasification,2,358.336
A29,collection,C1,clasification,2,309.276
A29,collection,C2,clasification,1,185.007
A29,collection,C3,clasification,1,182.363
A29,collection,C4,clasification,1,180.234
A29,collection,C5,clasification,1,176.938
A29,collection,C6,clasification,1,176.779
A29,collection,C7,clasification,1,176.992
A29,collection,C8,clasification,0,6.831
A29,collection,C9,clasification,0,6.831
A29,collection,C10,clasification,0,6.831
A29,collection,C11,clasification,1,273.375
A29,collection,C12,clasification,1,286.086
A29,collection,C13,clasification,1,280.59
A29,collection,C14,clasification,1,281.061
A29,collection,C15,clasification,1,285.218
A29,collection,C16,clasification,1,299.19
A29,collection,C17,clasification,1,283.666
A29,collection,C18,clasification,1,297.219
A29,collection,C19,clasification,1,284.076
A29,collection,C20,clasification,1,302.414
A29,collection,C21,clasification,1,303.421
A30,collection,C1,clasification,2,312.719
A30,collection,C2,clasification,1,188.45
A30,collection,C3,clasification,1,185.805
A30,collection,C4,clasification,1,183.677
A30,collection,C5,clasification,1,180.381
A30,collection,C6,clasification,1,180.222
A30,collection,C7,clasification,1,180.434
A30,collection,C8,clasification,0,9.375
A30,collection,C9,clasification,0,9.375
A30,collection,C10,clasification,0,9.375
A30,collection,C11,clasification,1,269.795
A30,collection,C12,clasification,1,282.506
A30,collection,C13,clasification,1,277.01
A30,collection,C14,clasification,1,277.48
A30,collection,C15,clasification,1,281.638
A30,collection,C16,clasification,1,295.61
A30,collection,C17,clasification,1,280.086
A30,collection,C18,clasification,1,293.639
A30,collection,C19,clasification,1,280.496
A30,collection,C20,clasification,1,298.834
A30,collection,C21,clasification,1,299.841
A31,collection,C1,clasification,2,312.173
A31,collection,C2,clasification,1,187.904
A31,collection,C3,clasification,1,185.259
A31,collection,C4,clasification,1,183.131
